,word,pos,dependency_label,id,parent,EOS,kept
0,as,RB,advmod,0,1,0,0
1,soon,RB,root,1,-1,0,0
2,as,IN,mark,2,4,0,0
3,we,PRP,nsubj,3,4,0,0
4,receive,VBP,advcl,4,1,0,0
5,a,DT,det,5,7,0,0
6,customer,NN,compound,6,7,0,0
7,order,NN,obj,7,4,0,0
8,a,DT,det,9,11,0,0
9,sales,NN,compound,10,11,0,0
10,employee,NN,nsubj,11,12,0,0
11,checks,VBZ,parataxis,12,7,0,0
12,whether,IN,mark,13,19,0,0
13,the,DT,det,14,15,0,0
14,customer,NN,nsubj:pass,15,19,0,0
15,has,VBZ,aux,16,19,0,0
16,already,RB,advmod,17,19,0,0
17,been,VBN,aux:pass,18,19,0,0
18,entered,VBN,ccomp,19,12,0,0
19,in,IN,case,20,23,0,0
20,the,DT,det,21,23,0,0
21,customer,NN,compound,22,23,0,0
22,database,NN,obl,23,19,0,0
23,<EOS>,.,punct,24,1,1,1
24,if,IN,mark,0,5,0,0
25,this,DT,nsubj,1,5,0,0
26,is,VBZ,cop,2,5,0,0
27,not,RB,advmod,3,5,0,0
28,the,DT,det,4,5,0,0
29,case,NN,advcl,5,12,0,0
30,the,DT,det,7,9,0,0
31,customer,NN,compound,8,9,0,0
32,data,NN,nsubj:pass,9,12,0,0
33,is,VBZ,aux:pass,10,12,0,0
34,newly,RB,advmod,11,12,0,0
35,created,VBN,root,12,-1,0,0
36,<EOS>,.,punct,13,12,1,1
37,once,IN,mark,0,5,0,0
38,the,DT,det,1,2,0,0
39,data,NN,nsubj:pass,2,5,0,0
40,has,VBZ,aux,3,5,0,0
41,been,VBN,aux:pass,4,5,0,0
42,created,VBN,advcl,5,8,0,0
43,we,PRP,nsubj,7,8,0,0
44,create,VBP,root,8,-1,0,0
45,an,DT,det,9,11,0,0
46,order,NN,compound,10,11,0,0
47,confirmation,NN,obj,11,8,0,0
48,in,IN,case,12,16,0,0
49,the,DT,det,13,16,0,0
50,merchandise,JJ,amod,14,16,0,0
51,management,NN,compound,15,16,0,0
52,system,NN,nmod,16,11,0,0
53,and,CC,cc,17,18,0,0
54,send,VB,conj,18,8,0,0
55,it,PRP,obj,19,18,0,0
